date,Net Sales_YRLY,Other Income_YRLY,Total Income_YRLY,Expenditure_YRLY,Cost of Materials Consumed_YRLY,Finance Costs_YRLY,Other Expenses_YRLY,Employee benefit expense_YRLY,Depreciation and amortisation expense_YRLY,Profit (+)/ Loss (-) from Ordinary Activities before Tax_YRLY,Tax_YRLY,Net Profit (+)/ Loss (-) from Ordinary Activities after Tax_YRLY,Net Profit_YRLY,Current tax_YRLY,Deferred tax_YRLY,Minority Interest_YRLY,Share of Profit & Loss of Asso_YRLY,Net Profit after Mino Inter & Share of P & L_YRLY,Any Other_YRLY,Income Attributable to Consolidated Group_YRLY,EPS after Extraordinary items (in Rs)_YRLY,Exceptional Item_YRLY,Profit after Interest but before Exceptional Items_YRLY,Net Profit Loss for the period from continuing operations_YRLY,Profit (loss) from discontinuing operations before tax_YRLY,Tax expense of discontinuing operations_YRLY,Net profit (loss) from discontinuing operation after tax_YRLY,Other Comprehensive Income Net of Taxes_YRLY,Any Other Comprehensive Item_YRLY,Total Comprehensive Income for the Period_YRLY,Total Amount of items that will not be reclassified to profit and loss_YRLY,Income tax relating to items that will not be reclassified to profit or loss_YRLY,Total Amount of items that will be reclassified to profit and loss_YRLY,Income tax relating to items that will be reclassified to profit or loss_YRLY,Net movement in regulatory deferral account balances_YRLY,Share of profit(loss) of associates and joint ventures_YRLY,Basic EPS for continuing operation_YRLY,Diluted EPS for continuing operation_YRLY,Basic for discontinued operation_YRLY,Diluted for discontinued operation_YRLY,Basic for discontinued & continuing operation_YRLY,Diluted for discontinued & continuing operation_YRLY,_YRLY,basic_eps_YRLY,diluted_eps_YRLY,Net Sales/Revenue From Operations_YRLY,Income Tax_YRLY,Excise Duty_YRLY,"Consumption of Provision, Wines & Others_YRLY","Consumption of Provisions, Stores, Wines & Others_YRLY",Diluted earnings per share after extraordinary items_YRLY,Interest_YRLY,Net sales or Revenue from Operations_YRLY,Profit before Interest and Exceptional Items_YRLY,Deferred Tax_YRLY,Equity Capital_YRLY,"Profit from Operations before Other Income, Interest and Exceptional Items_YRLY",Basic earnings per share after extraordinary items_YRLY,Other Operating Revenues_YRLY,Face Value (in Rs)_YRLY,Total current tax_YRLY,Diluted earnings per share before extraordinary items_YRLY,Deffered Tax_YRLY,Basic earnings per share before extraordinary items_YRLY,Current Tax_YRLY,% of the total of promoter & promoter group_YRLY,Depreciation & Amortization_YRLY,Basic & Diluted EPS before Extraordinary items_YRLY,Other Operating Income_YRLY,Net Sales / Income from Operations_YRLY,Non-encumbered Number of Shares_YRLY,Basic & Diluted EPS after Extraordinary items_YRLY,Financial Cost_YRLY,% of the total share capital of the company_YRLY,Employee Benefit Expenses_YRLY,Percentage of Public Shareholding_YRLY,Number of Public Shareholding_YRLY,Extraordinary Items_YRLY,Employees Benefits Expenses_YRLY,Finance Cost_YRLY,Depreciation_YRLY,Power & Fuel_YRLY,Other Expenditure_YRLY,Employees Cost_YRLY,%  of the total of promoter & promoter group_YRLY,%  of the total share capital of the company_YRLY,Encumbered Number  of Shares_YRLY,"Consumption of Provisions, Stores, Wines & Smokes_YRLY",Cost of Power & Fuel_YRLY
2022-05-13,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-14,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-15,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-16,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-17,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-18,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-20,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-21,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-22,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-23,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-26,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-27,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-28,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-29,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-30,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-31,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-02,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-03,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-04,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-05,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-06,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-07,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-08,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-09,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-10,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-11,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-12,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-13,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-14,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-15,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-16,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-17,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-18,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-19,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-20,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-21,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-22,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-23,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-24,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-25,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-26,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-27,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-28,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-29,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-30,"3,942.90",180.40,"4,123.30","-3,346.30",-410.80,-84.90,"-1,551.10",-985.60,-313.90,931.80,-211.30,720.50,658.60,-55.40,-155.90,0.00,0.00,658.60,0.00,658.60,,154.80,777.00,720.50,-35.80,0.00,-35.80,244.40,0.00,903.00,0.00,0.00,0.00,0.00,0.00,-26.10,1.06,1.06,-0.06,-0.06,1.00,1.00,Notes,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
