Net Sales,Other Income,Total Income,Expenditure,Cost of Materials Consumed,Finance Costs,Other Expenses,Employee benefit expense,Depreciation and amortisation expense,Profit (+)/ Loss (-) from Ordinary Activities before Tax,Tax,Net Profit (+)/ Loss (-) from Ordinary Activities after Tax,Net Profit,Current tax,Deferred tax,Minority Interest,Share of Profit & Loss of Asso,Net Profit after Mino Inter & Share of P & L,Any Other,Income Attributable to Consolidated Group,EPS after Extraordinary items (in Rs),Exceptional Item,Profit after Interest but before Exceptional Items,Net Profit Loss for the period from continuing operations,Profit (loss) from discontinuing operations before tax,Tax expense of discontinuing operations,Net profit (loss) from discontinuing operation after tax,Other Comprehensive Income Net of Taxes,Any Other Comprehensive Item,Total Comprehensive Income for the Period,Total Amount of items that will not be reclassified to profit and loss,Income tax relating to items that will not be reclassified to profit or loss,Total Amount of items that will be reclassified to profit and loss,Income tax relating to items that will be reclassified to profit or loss,Net movement in regulatory deferral account balances,Share of profit(loss) of associates and joint ventures,Basic EPS for continuing operation,Diluted EPS for continuing operation,Basic for discontinued & continuing operation,Diluted for discontinued & continuing operation,,date,"Cost of Land, Plots, Constructed Properties and Others",Employee benefits expenses,Depreciation and amortisation expenses,Tax Expenses,Revenue from Operations,Diluted for discontinued operation,Basic for discontinued operation,"Cost of Land, Plots, Constructed Properties",Others,Reserves,"Profit or Loss, Attributable to Owners of Parent",Prior Period Items,Employee Benefit Expenses,Equity Capital,"Total Profit or Loss, Attributable to Non-Controlling Interests",Extraordinary Item,Prior Period Adjustments,Interest,Extraordinary Items,Total Comprehensive Income for the Period Attributable to Owners of Parent Non-Controlling Interests,"Depreciation, Amortisation & Impairment",EPS before Extraordinary items (in Rs),"Profit from Operations before Other Income, Interest and Exceptional Items",Diluted EPS after Extraordinary items,Comprehensive Income for the Period Attributable to Owners of Parent,Cost of Investment In Sub,Basic EPS after Extraordinary items,Sales & Other Receipts,"Cost of Land, Development Rights, Constructed Properities & Others",Profit before Interest and Exceptional Items,Face Value (in Rs),Diluted EPS before Extraordinary items,Basic EPS before Extraordinary items,Pending at the beginning of the quarter,Cost of Revenues,Debt Equity Ratio,Other Expenditure,Percentage of Public Shareholding,Deferred Tax,Disposed of during the quarter,Debt Service Coverage Ratio,Debt Earning Per Share (EPS),Paid up Debt Capital,Received during the quarter,Depreciation,Provision for Tax including Fringe Benefit Tax,Debt Face Value,Debenture Redemption Reserve,Remaining unresolved at the end of the quarter,Number of Public Shareholding,Staff Cost,Investor Complaints,Cost of Land Plots & Constructed Properties,Interest Service Coverage Ratio
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,416.30",746.50,"15,162.80","-11,705.20","-6,722.90","-1,052.20","-2,329.20","-1,227.60",-373.30,"3,457.60",-876.10,"2,581.50","4,692.10",-140.60,-735.50,0.00,0.00,"4,692.10",0.00,"4,692.10",,0.00,"3,457.60","2,581.50",0.00,0.00,0.00,7.80,0.00,"4,699.90",0.00,0.00,0.00,0.00,0.00,"2,110.60",1.90,1.90,1.90,1.90,Notes,2022-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
